縣市別,行業別,媒介物,災害類型,發生日期,死,傷
桃園市,營造業,開口部分,墜落、滾落,2017/7/10,1,0
台南市,批發及零售業,其他(螺旋葉片),被夾、被捲,2017/7/10,1,0
台南市,營造業,屋頂、屋架、樑,墜落、滾落,2017/7/11,1,0
新北市,營造業,開口部分,墜落、滾落,2017/7/12,1,0
新竹縣,營造業,施工架,墜落、滾落,2017/7/14,1,0
台北市,營造業,電,感電,2017/7/14,1,0
苗栗縣,營造業,屋頂、屋架、樑,墜落、滾落,2017/7/14,1,0
台北市,專業、科學及技術服務業,輸配電路線,感電,2017/7/15,1,0
彰化縣,製造業,TY-209成型機,被夾、被捲,2017/7/18,1,0
高雄市,營造業,輸配電線路,感電,2017/7/18,1,0
彰化縣,營造業,移動梯,墜落、滾落,2017/7/18,1,0
台南市,營造業,卡車,墜落、滾落,2017/7/18,1,0
屏東縣,農、林、漁、牧業,其他媒介物(虎頭蜂),其他,2017/7/19,1,0
台南市,製造業,採光罩,墜落、滾落,2017/7/20,1,0
高雄市,營造業,營建物,墜落、滾落,2017/7/20,1,0
台北市,營造業,待查,待查,2017/7/20,1,0
彰化縣,製造業,屋頂、屋架、樑,墜落、滾落,2017/7/21,1,0
雲林縣,營造業,電弧熔接,感電,2017/7/22,1,0
台南市,營造業,施工架,墜落、滾落,2017/7/22,1,0
台北市,營造業,施工架,墜落、滾落,2017/7/23,1,0
嘉義縣,電力及燃氣供應業,屋頂、屋架、樑,墜落、滾落,2017/7/24,1,0
中科,營造業,電力設備,物體倒塌、崩塌,2017/7/25,1,0
高雄市,批發及零售業,浪板,墜落、滾落,2017/7/27,1,0
台北市,公共行政及國防；強制性社會安全,機車,公路交通事故,2017/7/29,1,0
新北市,支援服務業,不能分類,墜落、滾落,2017/7/30,1,0
台中市,營造業,合梯,墜落、滾落,2017/7/31,1,0
嘉義縣,運輸及倉儲業,輸配電線路,感電,2017/7/31,1,0
桃園市,製造業,其他(升降平台),被夾、被捲,2017/8/1,1,0
基隆市,農、林、漁、牧業,其他設備,感電,2017/8/3,1,0
高雄市,營造業,屋頂、屋架、樑,墜落、滾落,2017/8/3,1,0
台南市,營造業,開口部分,墜落、滾落,2017/8/3,1,0
新北市,製造業,其他媒介物,感電,2017/8/4,1,0
彰化縣,營造業,金屬材料,物體飛落,2017/8/7,1,0
嘉義市,不動產業,開口部分,墜落、滾落,2017/8/7,1,0
